type,bridge,MV,path
VanGogh,0.785055,0.53495914,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(193)_0000.png
VanGogh,0.6572538,0.7195246,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(194)_0000.png
VanGogh,0.5841888,0.6673845,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(195)_0000.png
VanGogh,0.5363992,0.6716489,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(196)_0000.png
VanGogh,0.1986204,0.8143846,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(197)_0000.png
VanGogh,0.19003278,0.94769037,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(198)_0000.png
VanGogh,0.16658773,0.8262472,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(199)_0000.png
VanGogh,0.78415865,0.6266772,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(200)_0000.png
VanGogh,0.037268545,0.7236328,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(201)_0000.png
VanGogh,0.09379253,0.80234814,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(202)_0000.png
VanGogh,0.6024703,0.68113554,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(203)_0000.png
VanGogh,0.34340307,0.7567568,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(204)_0000.png
VanGogh,0.56013966,0.7135944,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(205)_0000.png
VanGogh,0.25398758,0.5126064,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(206)_0000.png
VanGogh,0.6219484,0.43078354,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(207)_0000.png
VanGogh,0.3728516,0.6508352,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(208)_0000.png
VanGogh,0.4916331,0.6954622,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(209)_0000.png
VanGogh,0.1116604,0.71580267,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(210)_0000.png
VanGogh,0.16538951,0.9563308,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(211)_0000.png
VanGogh,0.6648649,0.6386195,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(212)_0000.png
VanGogh,0.7874024,0.6285537,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(213)_0000.png
VanGogh,0.14535077,0.9436185,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(214)_0000.png
VanGogh,0.14618462,0.88733965,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(215)_0000.png
VanGogh,0.57871914,0.4872145,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(216)_0000.png
VanGogh,0.2951731,0.8751819,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(217)_0000.png
VanGogh,0.7145034,0.64101255,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(218)_0000.png
VanGogh,0.5740075,0.72755325,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(219)_0000.png
VanGogh,0.15664381,0.6726228,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(220)_0000.png
VanGogh,0.55158716,0.75043267,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(221)_0000.png
VanGogh,0.7812309,0.5031125,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(222)_0000.png
VanGogh,0.3600645,0.7871254,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(223)_0000.png
VanGogh,0.7619149,0.5289193,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(224)_0000.png
VanGogh,0.76001674,0.6411351,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(225)_0000.png
VanGogh,0.16074713,0.9078273,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(226)_0000.png
VanGogh,0.20926699,0.7699214,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(227)_0000.png
VanGogh,0.40544698,0.7725158,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(228)_0000.png
VanGogh,0.23357792,0.7536897,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(229)_0000.png
VanGogh,0.20490849,0.7861189,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(230)_0000.png
VanGogh,0.6216998,0.630571,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(231)_0000.png
VanGogh,0.2652407,0.8552593,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(232)_0000.png
VanGogh,0.5125208,0.74810827,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(233)_0000.png
VanGogh,0.7283858,0.5983262,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(234)_0000.png
VanGogh,0.79671717,0.516949,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(235)_0000.png
VanGogh,0.29036334,0.61906284,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(236)_0000.png
VanGogh,0.52304965,0.6698703,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(237)_0000.png
VanGogh,0.12034478,0.6421843,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(238)_0000.png
VanGogh,0.52950245,0.7177742,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(239)_0000.png
VanGogh,0.12863922,0.6732685,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(240)_0000.png
VanGogh,0.058814213,0.64720863,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(241)_0000.png
VanGogh,0.7843182,0.59293664,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(242)_0000.png
VanGogh,0.86736965,0.5097856,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(243)_0000.png
VanGogh,0.6103553,0.56830925,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(244)_0000.png
VanGogh,0.5095654,0.8382897,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(245)_0000.png
VanGogh,0.94760895,0.46417883,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(246)_0000.png
